0	1
“If there’s homosexual men, the punishment is one of five things. One – the easiest one maybe – chop their head off, that’s the easiest. Second – burn them to death. Third – throw ’em off a cliff. Fourth – tear down a wall on them so they die under that. Fifth – a combination of the above.”	Black-and-White_Fallacy
praised the murderer of a foe of Pakistan’s blasphemy laws	Loaded_Language
and issue an official ban on Donald Trump from entering the UK on the grounds he is condoning fascism and his presence is “not conducive to the public good”	Appeal_to_fear-prejudice
defense of Britain and its values	Flag-Waving
destructive Radical Islamic Terrorism	Loaded_Language
I’m not sure we’re doing just fine	Doubt
If there’s homosexual men, the punishment is one of five things. One – the easiest one maybe – chop their head off, that’s the easiest. Second – burn them to death. Third – throw ’em off a cliff. Fourth – tear down a wall on them so they die under that. Fifth – a combination of the above	Appeal_to_fear-prejudice
"the credulous ""judges"""	Name_Calling,Labeling
illegal aliens	Repetition
Kritarch Patti Saris thinks she runs immigration policy	Causal_Oversimplification
Tellingly, these asylum applicants were the elite of Indonesian society, because their higher average IQ, than the rather dull Indonesians	Causal_Oversimplification
so the locals really are a dull lot	Loaded_Language
Red China	Name_Calling,Labeling
Fortunately, elections have consequences, and the Obama Regime Administrative Amnesty, or parts of it, came to an inglorious end	Whataboutism,Straw_Men,Red_Herring
decider-in-chief on who gets deported	Exaggeration,Minimisation
another bite at the apple	Loaded_Language
the country would not last long without an outside high IQ elite to run the country	Causal_Oversimplification
an 87 IQ is just about retarded	Loaded_Language
she has gone full rogue	Loaded_Language
pogrom	Loaded_Language
rather dull Indonesians	Name_Calling,Labeling
a dull lot	Name_Calling,Labeling
"fool even the credulous ""judges"	Loaded_Language
inglorious	Loaded_Language
retarded	Name_Calling,Labeling
aliens	Repetition
illegal aliens	Repetition
illegal aliens	Repetition
aliens	Repetition
illegal aliens	Repetition
did she really think she or anyone would be safe?	Doubt
Safe by surrender? When did they ever work in the history of humankind?	Doubt
Once again the media are blaming the messenger instead of dealing with Islamic violence	Whataboutism,Straw_Men,Red_Herring
he is condoning fascism and his presence is ‘not conducive to the public good.'”	Appeal_to_fear-prejudice
once great nation’s darkest moments and a low point for freedom	Loaded_Language
the victory of Islamic law over Western law, sharia over freedom	Loaded_Language
this madness	Loaded_Language
a true rainbow coalition of human rights activists	Loaded_Language
The worldwide howl at Trump’s retweets of videos tweeted out by a British politician is further proof of the Islamization of the West	Causal_Oversimplification
grim and increasingly common reality	Loaded_Language
If Muslims sincerely condemn jihad terror and sharia oppression, they shouldn’t oppose him	Black-and-White_Fallacy
defending British values.”	Flag-Waving
the voices of sanity	Loaded_Language
call that nation back to a path that would secure freedom for her children and her children’s children instead of a path to national suicide	Flag-Waving
the most tyrannical and unprincipled papacy of recent history—	Loaded_Language
a gross understatement	Loaded_Language
the Mystical Body would then be without its head	Loaded_Language
"""The document is very good and completely explains the meaning of chapter VIII of Amoris Laetitia. There are no other interpretations."""	Appeal_to_Authority
As Bertolt Brecht told Sidney Hook about Stalin’s victims, “the more innocent they are, the more they deserve to be shot.”	Bandwagon,Reductio_ad_hitlerum
the San Francisco show-trial in which he co-starred	Loaded_Language
The Great Left Hope,”	Name_Calling,Labeling
SMASH THE STATE	Slogans
secret version of Russian roulette,”	Loaded_Language
Unlike Stalin’s trials of the old Bolsheviks, and Fidel Castro’ trial of General Arnaldo Ochoa, this show trial aimed to establish innocence for the guilty, and the dynamics of the left were on full display	Bandwagon,Reductio_ad_hitlerum
society is progressing toward a social justice paradise ruled by a wise elite that knows what’s best for all	Exaggeration,Minimisation
The Great Left Hope”	Name_Calling,Labeling
That explains the effort of “The Great Left Hope” to have his client’s felony gun possession conviction tossed	Causal_Oversimplification
He has a great, steadfast commitment to justice	Appeal_to_Authority
to smash everything!”	Exaggeration,Minimisation
single worst act of tyranny	Loaded_Language
toying with the teaching office	Loaded_Language
half-baked theological notions	Doubt
a tyrant on the Chair of Peter	Name_Calling,Labeling
That error threatens to overwhelm the Church while they do little more than fret about a situation whose self-evident cause—a reckless Pope in love with his own ideas and filled with contempt for Tradition—they seem incapable of identifying	Whataboutism,Straw_Men,Red_Herring
The Dictator Pope	Name_Calling,Labeling
a power-hungry, manipulative dictator, [who] celebrated the abdication of Benedict XVI”	Name_Calling,Labeling
We elected you to make reforms, not to smash everything!”	Loaded_Language
in the explosive best-seller	Loaded_Language
The Dictator Pope	Repetition
given the disordered mélange of bits and pieces of things he has read that constitutes his theology	Loaded_Language
But never, before Francis, has there been a Pope who dared to tyrannize the Magisterium itself by attempting to bend it to his errant personal opinions	Exaggeration,Minimisation
is derived from divine law and transcends the domain of positive ecclesiastical laws	Loaded_Language
Even if the attempt is void and of no effect before man and God—an immoral law is no law at all—	Black-and-White_Fallacy
cloak his absurd novelties	Loaded_Language
No Pope before him has ever dared to do such a thing	Exaggeration,Minimisation
that at the epicenter of the chaos is the most wayward Pope the Church has ever had to endure	Loaded_Language
is a standing rebuke to all the hierarchs who know what we all know	Exaggeration,Minimisation
the abuses of a tyrant on the Chair of Peter	Loaded_Language
Continued inaction while the laity and a few good priests are left to themselves to defend, as best they can, the constant teaching of the Church against the abuses of a tyrant on the Chair of Peter threatens the hierarchs with a legacy of shame and a terrible accountability before the Just Judge	Appeal_to_fear-prejudice
The time for “prudence” is long past	Thought-terminating_Cliches
a papal tyranny the Church has never before seen	Loaded_Language
to cut out the cancerous growth of modernist theology that has implanted itself and is festering within the celebration of even the most sacred mysteries, before the cancer spreads and causes even greater damage?	Loaded_Language
a reckless Pope in love with his own ideas and filled with contempt for Tradition—	Name_Calling,Labeling
the divinely bestowed power to repel an assault on marriage, family and the very integrity of the Faith that is now	Loaded_Language
for the first time in Church history	Repetition
May Our Lady of Fatima intercede to obtain for them the grace of fortitude to do what must be done and what only they can do. Our hopes and prayers are with them as the foremost instruments of divine providence in the ecclesia Dei adflicta	Loaded_Language
True love for the Church, indeed true charity toward Francis himself, requires of them nothing less than what was required of Saint Paul when the first Pope fell into error that jeopardized the very mission of the Church: that Peter be withstood to his face (Gal. 2:11)	Flag-Waving
a power-hungry, manipulative dictator, [who] celebrated the abdication of Benedict XVI	Loaded_Language
lacking in any magisterial weight whatsoever—	Loaded_Language
Francis made it clear that the Argentine bishops’ interpretation of AL allowing public adulterers to receive Holy Communion “explains precisely the meaning of Chapter VIII of ‘Amoris Laetitia.’ There are no other interpretations.”	Appeal_to_Authority
outrageous overreach of papal authority	Loaded_Language
ominously clear	Loaded_Language
this latest papal travesty	Loaded_Language
God's Holy Name, we beg you to act now -- before Pope Francis succeeds in tearing the Church in half completely	Loaded_Language
This warning will infuriate environmental campaigners who argue by 2030 the world faces increased sea levels and flooding due to glacial melt at the poles and a warming of the globe	Whataboutism,Straw_Men,Red_Herring
will infuriate	Loaded_Language
A team of experts have warned that huge seismic events, including volcanic eruptions, plunging global temperatures and destabilization of the Earth’s crust will become more common after worrying changes to the surface of the Sun were recorded	Appeal_to_Authority
Does this new footage reveal muzzle flashes from helicopters, an air assault, on the night of the massacre?	Doubt
If we do nothing about the missiles fired at Saudi Arabia, we will not be able to stop the violence	Appeal_to_fear-prejudice
Did she disingenuously omit that inconvenient bit from her remarks, or fail to read the entire UN report?	Doubt
hypocritical	Loaded_Language
The US Is Blatantly Telling Lies	Doubt
entire premise of the U.N. report is almost completely incorrect	Doubt
This is the critical lesson of Yemen, and the United States would do well to heed it before it tries to foment a crisis based upon trumped-up charges	Appeal_to_fear-prejudice
Made in Iran’ stickers all over it.”	Loaded_Language
Why is the U.S. singling out Iran, especially when the Houthi rebels are sworn enemies of al-Qaeda?	Doubt
goes against the better judgment	Whataboutism,Straw_Men,Red_Herring
anti-Iranian advisors in his staff who don’t want to see the U.S. isolated on the world stage	Appeal_to_fear-prejudice
schizophrenic approach	Loaded_Language
No amount of chest-thumping and empty rhetoric by American political and/or military leaders can offset this harsh reality	Loaded_Language
the imaginary Catholic Pharisees	Name_Calling,Labeling
nullity, how can an individual priest be capable of making such a judgment having to do with the eternal salvation of the soul in question?	Doubt
fool	Repetition
fools	Repetition
fool	Repetition
fools	Repetition
Apparently, They Think We are Fools	Loaded_Language
he and his collaborators are busily engineering neo-Pharisaical escape hatches from the negative precepts of the divine and natural law emanating from the Sixth Commandment	Loaded_Language
Do they think we are fools?	Loaded_Language
verbal contortions	Loaded_Language
preposterous “solution”	Loaded_Language
moral and canonical nonsense	Loaded_Language
No Catholic, whether or not he consults a priest, can declare for himself that his marriage in the Church was invalid, especially when—indeed because—he lacks canonical proof of invalidity	Black-and-White_Fallacy
the conspiracy culminating in Amoris Laetitia	Loaded_Language
If a college of judges in a matrimonial tribunal is not able to arrive at moral certitude regarding the nullity of a marriage after a careful and thorough examination of the petition of nullity, how can an individual priest be capable of making such a judgment having to do with the eternal salvation of the soul in question?	Causal_Oversimplification
all of which will be utter fakes, including some form of “pastoral integration” of homosexual unions	Loaded_Language
Silence at best is the price it must pay for remaining in good standing with the pro-homosexual bishop Francis has installed in San Diego.)	Appeal_to_fear-prejudice
But we are not fools. And God will not be mocked. Francis and all his designs will ultimately come to nothing	Loaded_Language
lie from the pit of hell	Loaded_Language
public safety	Repetition
Our dedicated officers strive to make our communities safer by arresting convicted criminal aliens and removing them from the United States despite the reckless sanctuary policies that are currently in place in Cook County that put our communities at risk	Appeal_to_Authority
Our dedicated officers strive to make our communities safer	Repetition
By removing criminal aliens from the streets, our ICE officers provide an invaluable community service by improving public safety.”	Repetition
reckless sanctuary policies	Name_Calling,Labeling
our communities	Flag-Waving
protect the nation	Flag-Waving
protect the integrity of our immigration laws	Flag-Waving
Muslim invaders	Repetition
sexual assaults by Muslim migrants, attacks on Christians and there's no telling the amount of damage to the unethical welfare system in the country	Loaded_Language
Thank you Prime Minister Orban for saying what needed to be said!	Loaded_Language
man behind the curtain	Name_Calling,Labeling
"""Muslim Invaders"""	Name_Calling,Labeling
"Refugees Are Actually ""Muslim Invaders"""	Appeal_to_Authority
"Muslim Invaders"""	Repetition
Muslim invasion	Repetition
Muslim invaders	Repetition
Muslim invaders	Repetition
Muslim invaders	Repetition
Muslim invasion	Repetition
Muslim invasion	Repetition
Muslim invaders	Repetition
they “don’t want” immigration	Appeal_to_Authority
the best example of discipline and the rule of law,”	Exaggeration,Minimisation
invasion	Repetition
Christian and Muslim societies “will never unite.”	Appeal_to_Authority
They have absolutely nothing in common	Exaggeration,Minimisation
"They are in Europe to conquer and Islamize it, with willing and eager help from Europe’s short-sighted, self-serving, internationalist intelligentsia."""	Loaded_Language
Indeed!	Thought-terminating_Cliches
an Islamic dominionist attitude	Loaded_Language
"He has genuinely reached out his hand to help Christian migrants instead of Muslim migrants and he seems to be one that holds to the Christian faith, as emulated by the Protestant Reformers, saying, ""That which serves the glory of God is the best for the people."""	Flag-Waving
Hits Nail On The Head	Loaded_Language
putting their noses	Loaded_Language
untold numbers	Loaded_Language
The reason why people are in your country is not because they are refugees, but because they want a German life	Black-and-White_Fallacy
chaos, anarchy and illegal border crossings	Loaded_Language
including the united States	Flag-Waving
They cannot agree on God's law, which most Western societies were base on	Appeal_to_fear-prejudice
They cannot agree	Repetition
They cannot agree on	Repetition
leave Hungary and never come back	Flag-Waving
Hungary would defend its borders, and it has	Flag-Waving
Many, all too many	Repetition
them want to overwhelm German values, and European values in general, with sharia values	Appeal_to_fear-prejudice
to conquer and Islamize it	Appeal_to_fear-prejudice
internationalist intelligentsia	Name_Calling,Labeling
corrupt	Loaded_Language
fraudulent	Loaded_Language
national security	Flag-Waving
“threatened”	Appeal_to_fear-prejudice
Arabic Linguist for the Navy for five years	Whataboutism,Straw_Men,Red_Herring
a Senior Intel Analyst for the Department of Defense (DoD)	Whataboutism,Straw_Men,Red_Herring
Lambert also speaks fluent Arabic and Farsi (Persian), along with French and Italian	Whataboutism,Straw_Men,Red_Herring
former Reagan Justice Dept	Whataboutism,Straw_Men,Red_Herring
If Islam is a good religion in itself, as you seem to teach, why did we become Catholic	Doubt
if you don’t believe that Islam is a Religion of Peace, you will be ruthlessly harassed and silenced by the U.S. Conference of Catholic Bishops and the hierarchy elsewhere as well	Appeal_to_fear-prejudice
the worst of Creation”	Name_Calling,Labeling
“Naiveté in the face of Islam is suicidal and very dangerous”	Appeal_to_fear-prejudice
disgusted by her cowardice, wounded by equivocal gestures, confused by the lack of evangelization, scandalized by the praise given to Islam.”	Loaded_Language
The bishops of the Catholic Church are much more concerned that you believe that Islam is a religion of peace than that you believe in, say, the Nicene Creed	Exaggeration,Minimisation
it does not account for the fact that Islam came AFTER Christ, and so is, and can only be, an Antichrist	Black-and-White_Fallacy
As a proper Antichrist, Islam exists only as an enemy of all	Black-and-White_Fallacy
For the Qur’an, Christians “are only impurity”	Black-and-White_Fallacy
the worst of Creation”	Loaded_Language
all condemned to Hell	Loaded_Language
so Allah must exterminate them	Loaded_Language
Allah has nothing to offer but war and murder of the “infidels” in exchange for his paradise	Black-and-White_Fallacy
The authors say that Islam can be no ally in the battle “against the powers that want to dominate and enslave the world” because “they share the same totalitarian logic based on the rejection of the kingship of Christ	Bandwagon,Reductio_ad_hitlerum
Jesus has never indicated any other way than that of the Cross	Black-and-White_Fallacy
The letter also contrasts the stance of Islamic countries like Turkey and Saudi Arabia who “do not welcome any refugee” while Pope Francis preaches	Whataboutism,Straw_Men,Red_Herring
the utter scandal of the pope’s failure	Loaded_Language
disgusted by her cowardice, wounded by equivocal gestures, confused by the lack of evangelization, scandalized by the praise given to Islam … Thus ignorant souls are misled…	Loaded_Language
Taking the matter further, they warn, too, of the physical danger the pope’s disposition toward Islam invites, saying that it has resulted in Christians not preparing for a confrontation with Islam	Appeal_to_fear-prejudice
The headquarters of my archdiocese and my apostolate have been occupied by radical Islamists who want us to convert or die	Black-and-White_Fallacy
You are welcoming into your country an ever increasing number of Muslims. You are in danger as well. You must make strong and courageous decisions	Appeal_to_fear-prejudice
This is a matter of life and death, and any complacency towards Islam is treasonous. We do not wish the West to continue with Islamization, nor that your actions contribute to it	Appeal_to_fear-prejudice
This is a matter of life and death	Loaded_Language
Our present sufferings are the prelude to those that you, Europeans and Western Christians, will suffer in the near future	Appeal_to_fear-prejudice
a hopeless hellhole	Loaded_Language
Demolition Man	Loaded_Language
Sweden. That tells you everything	Thought-terminating_Cliches
a hopeless hellhole where the native population is overtaxed and terrorized by warring foreign gangs	Exaggeration,Minimisation
Of course they can't cope	Doubt
stamped out	Loaded_Language
Mass repression and police powers that don't actually address the cause of the problem	Doubt
Are the 2,000 U.S. troops in Syria really up to that task	Doubt
ruthless	Loaded_Language
risks a major U.S. war with no allies but the Kurds?	Appeal_to_fear-prejudice
Have the generals taking us into Syria told the president how and when, if ever, they plan to get us out?	Doubt
mortal peril	Appeal_to_fear-prejudice
terror nests	Name_Calling,Labeling
"terror army,"""	Name_Calling,Labeling
"traitors."""	Name_Calling,Labeling
blatant attack on the sovereignty and territorial integrity	Loaded_Language
"flagrant violation of international law."""	Loaded_Language
by what authority do U.S. forces remain to arm troops to keep the Damascus government from reimposing its authority on its own territory?	Doubt
Donald Trump won the presidency on a promise of no more unnecessary wars	Causal_Oversimplification
Have the American people been had again?	Doubt
Are we prepared for a shooting war with a Syrian army, backed by Russia, Iran, Hezbollah and Shiite militias from Iraq, Afghanistan and Pakistan, to hold onto a fourth of Syria's territory in alliance with Kurds?	Appeal_to_fear-prejudice
If Erdogan is serious, a clash with the U.S. is coming	Appeal_to_fear-prejudice
Does not the Syrian government have a point?	Doubt
But who authorized this strategic commitment	Doubt
people	Repetition
That’s crazy	Thought-terminating_Cliches
This is the new Sweden; the new, exciting dynamic, multicultural paradise that so many here in this assembly … have fought to create for so many years	Exaggeration,Minimisation
Why would the autopsy report be something that needs to be withheld from the public or his family?	Doubt
What is surprising is the level of secrecy surrounding the Las Vegas shooting and the containment of information more than three months after it occurred	Doubt
credible evidence	Repetition
credible evidence	Repetition
"Something’s not adding up."""	Doubt
"There's no threat."""	Thought-terminating_Cliches
shocking claim	Loaded_Language
government is covering up a big story about terrorism	Doubt
something is not adding up,”	Doubt
“If ISIS warns about an attack and then an attack occurs and claims responsibility after the fact, it seems to me that at a minimum, they should have some portion of the investigation to clearly debunk that claim and, yet, it hasn’t happened,” he said	Causal_Oversimplification
waiting and waiting and waiting	Repetition
all Americans	Flag-Waving
shocking comments	Loaded_Language
shock	Repetition
all calumny	Loaded_Language
kiss and fondle them in the swank	Loaded_Language
These people are truly crazy	Loaded_Language
Shock	Loaded_Language
shocking move	Loaded_Language
truly crazy	Name_Calling,Labeling
gross negligence	Loaded_Language
How was this victim overlooked by investigators but known by Intellihub? Who was this victim?	Doubt
a massive cover-up of the truth, the F.B.I. and LVMPD	Doubt
law enforcement investigators have never asked to see the footage	Doubt
placed”	Exaggeration,Minimisation
Will the F.B.I. and LVMPD please explain what in the Hell is going on here?	Doubt
How many more victims went ignored by investigators?	Doubt
a massive cover-up of the truth	Loaded_Language
botched investigation	Loaded_Language
please explain what in the Hell	Loaded_Language
were people getting haircuts at the crime scene?	Doubt
Let’s face it, twice before the attack ISIS warned the United States that they would attack Las Vegas and then after the attack claimed responsibility four times,”	Causal_Oversimplification
horrific	Loaded_Language
One can imagine that	Doubt
Interestingly	Doubt
Hitler the Great	Name_Calling,Labeling
deeply disappointed	Exaggeration,Minimisation
ridiculous exercise in virtue-signaling	Loaded_Language
for the crime of telling the truth about Islam and jihad	Exaggeration,Minimisation
If there’s homosexual men, the punishment is one of five things. One – the easiest one maybe – chop their head off, that’s the easiest. Second – burn them to death. Third – throw ’em off a cliff. Fourth – tear down a wall on them so they die under that. Fifth – a combination of the above.”	Black-and-White_Fallacy
relentlessly appeasement-minded government	Name_Calling,Labeling
“doesn’t applaud diversity	Loaded_Language
We must be vigorous in our intolerance of his intolerance.”	Appeal_to_fear-prejudice
Hitler the Great.’	Exaggeration,Minimisation
corruptly elected	Loaded_Language
Islamophobic propaganda	Loaded_Language
he has allegedly “bigoted attitude towards women, ethnic minorities and Muslims	Loaded_Language
The motion also notes that the neighbouring Royal Borough of Greenwich formally adopted a similar motion in December last year…	Bandwagon,Reductio_ad_hitlerum
Meanwhile, Britain has a steadily lengthening record of admitting jihad preachers without a moment of hesitation	Whataboutism,Straw_Men,Red_Herring
hypocrisy and double standards	Loaded_Language
If there’s homosexual men, the punishment is one of five things. One – the easiest one maybe – chop their head off, that’s the easiest. Second – burn them to death. Third – throw ’em off a cliff. Fourth – tear down a wall on them so they die under that. Fifth – a combination of the above	Appeal_to_fear-prejudice
relentlessly appeasement-minded	Loaded_Language
bigot	Name_Calling,Labeling
He is failing in his leadership and we should not welcome him here. We must be vigorous in our intolerance of his intolerance	Appeal_to_Authority
shock and alarm	Loaded_Language
Saris like many other Federal judges does not like our current immigration system	Bandwagon,Reductio_ad_hitlerum
The Indonesian Christian	Name_Calling,Labeling
who thinks it is the job of District Court judges to micromanage the deportation system of the United States	Causal_Oversimplification
her little amnesty	Loaded_Language
expressed concern the Indonesians could be deported before their administrative appeals were finished, given their claims they could face religious persecution in the world’s largest majority-Muslim nation	Appeal_to_fear-prejudice
some minor kritarch	Loaded_Language
got her wish	Thought-terminating_Cliches
illegal aliens	Loaded_Language
illegal aliens	Repetition
illegal aliens	Repetition
That’s my concern	Thought-terminating_Cliches
illegal aliens	Repetition
illegal aliens	Repetition
illegal aliens	Repetition
another bite at the apple	Loaded_Language
minor kritarch	Name_Calling,Labeling
the charismatic homosexual/pederast predator Fernando Karadima	Loaded_Language
Neither lefties nor stupid	Slogans
It’s all in the air	Exaggeration,Minimisation
who am I to judge”	Thought-terminating_Cliches
What happened to ‘Zero Tolerance’ for clerical sexual offenders?”	Whataboutism,Straw_Men,Red_Herring
to blaze down	Loaded_Language
leftist secular journalists	Name_Calling,Labeling
a “leftist” pope	Name_Calling,Labeling
her voice cracked with nervousness	Loaded_Language
the charismatic homosexual/pederast predator Fernando Karadima	Name_Calling,Labeling
think with your head.”	Thought-terminating_Cliches
you are foolish	Loaded_Language
the egregious failures	Loaded_Language
this horrified me a lot	Loaded_Language
a voyeuristic participant	Name_Calling,Labeling
priest-abusers	Name_Calling,Labeling
the notorious homosexual	Name_Calling,Labeling
the sinister appearance	Loaded_Language
the notorious Italian priest-pederast	Name_Calling,Labeling
the abuse was approved by God	Loaded_Language
a loudly trumpeted part	Loaded_Language
“The reluctance of some in the Vatican Curia to implement recommendations or cooperate with the work of a commission when the purpose is to improve the safety of children and vulnerable adults around the world is unacceptable,”	Appeal_to_fear-prejudice
tossed out	Loaded_Language
snippy tone	Loaded_Language
unending stream of outrages and embarrassments	Loaded_Language
gobsmacked	Loaded_Language
serious and painful evil	Loaded_Language
leftists who have set up this thing	Name_Calling,Labeling
calumny” comment	Loaded_Language
devastating impact	Loaded_Language
unusually contrite	Name_Calling,Labeling
the kingpin of South American Catholicism	Name_Calling,Labeling
plagued	Loaded_Language
ignored to death	Loaded_Language
under his thumb	Loaded_Language
mafia	Name_Calling,Labeling
given Francis’s usual methods, it’s anyone’s guess who in reality is actually dealing with these cases, if anyone	Doubt
harsh criticism	Loaded_Language
God damn America	Slogans
the terror group, the Nation of Islam	Bandwagon,Reductio_ad_hitlerum
wicked deceivers	Loaded_Language
sucked their blood	Loaded_Language
people. You have sucked their blood	Thought-terminating_Cliches
Hitler was a very great man	Repetition
Hitler exterminating six million Jews	Bandwagon,Reductio_ad_hitlerum
terrorists	Appeal_to_fear-prejudice
worked as furiously	Loaded_Language
nefarious connections	Loaded_Language
The Muslim photographer Askia Muhammad, who took this photo of candidate Barack Obama and vicious jihad-supporting racist Louis Farrakhan, knew this would impact the election: he said so. And so he conspired with the terror group, the Nation of Islam, to keep it hidden for 10 years	Doubt
that’s a good name. Hitler was a very great man	Exaggeration,Minimisation
that’s a good name. Hitler was a very great man	Exaggeration,Minimisation
how long do you think a nation can do evil and not face the wrath of god	Loaded_Language
But don’t nobody ever ask what did they do to Hitler	Whataboutism,Straw_Men,Red_Herring
will rain destruction upon white America	Loaded_Language
sort of in a panic	Loaded_Language
shines forth	Loaded_Language
destroy	Exaggeration,Minimisation
My god will wipe this country (America) from the face of the earth	Appeal_to_fear-prejudice
You are wicked deceivers of the American people. You have sucked their blood	Flag-Waving
The Jews don’t like Farrakhan, so they call me Hitler	Bandwagon,Reductio_ad_hitlerum
America is in trouble, and I say God is about to wipe this nation from the face of the Earth. I’m not crazy, I’m not drunk, how long do you think a nation can do evil and not face the wrath of god	Appeal_to_fear-prejudice
The Mother Wheel is a heavily armed spaceship the size of a city, which will rain destruction upon white America but save those who embrace the Nation of Islam	Appeal_to_fear-prejudice
spiritual advisor	Name_Calling,Labeling
sort of in a panic	Loaded_Language
black	Repetition
shaking down white institutions	Loaded_Language
black rage	Loaded_Language
Reading Obama’s 1995 memoir, you might almost get the impression that after a prudent first term, during his second he might side with, I dunno, Black Lives Matter and encourage a wave of black rage and police retreat that drove up the death toll from murder by 20% in his last two years in office, an incremental death toll a little bigger than the U.S. combat death toll from the equally stupid Iraq War	Doubt
was afraid that someone might “break into his apartment” looking for it	Appeal_to_fear-prejudice
crap	Loaded_Language
racking my brain	Loaded_Language
the deadliest mass shooting in modern U.S. history	Exaggeration,Minimisation
the guy who sold him a hamburger for lunch	Exaggeration,Minimisation
in one fell swoop	Loaded_Language
"The family finally got the remains in a box marked ""evidence"" over three months after the shooting and the autopsy report hasn't been finalized? Wait, were the same guys in the autopsy room that were there when the doctors and coroners examined John F Kennedy"	Doubt
No more games	Thought-terminating_Cliches
Seriously	Loaded_Language
How can the autopsy report not be ‘finalized’ when the body was cremated more than five weeks ago	Doubt
That's exactly right! Something is rotten in Denmark	Loaded_Language
On top of that, we have questions as to whether the body was even that of Stephen Paddock, given the fact that certain elements of the Paddock in the preliminary police report, which mentioned the autopsy, are apparently at odds with the Paddock of other documentation	Doubt
By the way, the toxicology report was not mentioned in the preliminary report	Doubt
drag his feet	Loaded_Language
Massacre	Loaded_Language
Not only did the coroner drag his feet and release the autopsy reports late Wednesday, but all of the names were redacted in the reports, with no mention of ballistic data, bullet caliber, or trajectories	Doubt
America stands with the people of Iran in their courageous struggle for freedom.”	Flag-Waving
obsequious acolytes	Name_Calling,Labeling
despotic mullahs	Name_Calling,Labeling
pusillanimous	Loaded_Language
the nefarious nature of this fascist theocracy	Loaded_Language
doesn’t ask “how high” when they say “jump.” Clearly	Loaded_Language
docile posture	Loaded_Language
weak, indecisive and ineffectual	Loaded_Language
misguided effort	Loaded_Language
Obama sold everything including the kitchen sink	Loaded_Language
fecklessness through appeasement	Loaded_Language
Obama’s groveling	Loaded_Language
mischief-making	Loaded_Language
he didn’t think that the seizure of Americans was important enough to note	Flag-Waving
a new sheriff in town	Loaded_Language
fascist theocracy	Bandwagon,Reductio_ad_hitlerum
messianic zealotry	Name_Calling,Labeling
deterrent effect	Loaded_Language
ritualistic, belligerent encounters	Loaded_Language
empty rhetoric	Loaded_Language
I had no way to see into his mind	Thought-terminating_Cliches
Haig did not mention the incendiary rounds -- which are meant to ignite what they hit -- in Friday's news conference	Doubt
Sickness. Horror	Loaded_Language
One woman (was) screaming through my door that I should be killed and I should die	Appeal_to_fear-prejudice
will proclaim, with all clarity, unambiguity and beauty	Loaded_Language
would be a beautiful common voice defending the sanctity and the indissolubility of marriage in the midst of a real neo-pagan society where divorce has become a plague and where sexual depravity is increasingly spreading.”	Loaded_Language
Such a reading is causing “rampant confusion,” will spread “a plague of divorce” in the Church, and is “alien” to the Church’s entire faith and Tradition	Loaded_Language
and it would be a beautiful common voice defending the sanctity and the indissolubility of marriage in the midst of a real neo-pagan society where divorce has become a plague and where sexual depravity is increasingly spreading.”	Appeal_to_fear-prejudice
the “beautiful explanations” that are being presented to clergy and faithful as “discernment” and “pastoral accompaniment,” or a “change of paradigm” and “discovery of the subjective part of the truth,” when translated into “common sense language,” are tantamount to an allowance to sin	Black-and-White_Fallacy
As Successors of the Apostles, Schneider said they “could not act in another way.”	Causal_Oversimplification
plague	Exaggeration,Minimisation
Some of these norms, Schneider told LifeSiteNews, give “implicit approval” of divorce and of sexual activity outside a valid marriage	Appeal_to_Authority
plague of divorce	Exaggeration,Minimisation
As Successors of the Apostles, Schneider said they “could not act in another way	Black-and-White_Fallacy
a gun running operation gone wrong every day	Repetition
I had no way to see into his mind	Thought-terminating_Cliches
crackpots	Name_Calling,Labeling
pounded on his door	Loaded_Language
to lob wild claims	Loaded_Language
posted an article this week that pointed to Haig's background in the aerospace industry as a sign of U.S. government involvement in the massacre	Causal_Oversimplification
a CIA cut-out	Name_Calling,Labeling
a noxious far-right personality	Name_Calling,Labeling
started making hay	Loaded_Language
I've seen all kinds of people. There were no tells	Thought-terminating_Cliches
had absolutely nothing to do	Exaggeration,Minimisation
the Las Vegas mass shooter	Name_Calling,Labeling
Las Vegas mass murderer	Name_Calling,Labeling
ludicrous	Loaded_Language
internet's conspiracy-theorist-in-chief	Name_Calling,Labeling
YouTube conspiracy theorist	Name_Calling,Labeling
Did he know something that Stephen Paddock was going to do	Doubt
the deadliest mass shooting in modern U.S. history	Exaggeration,Minimisation
his most theologically unsettling point	Appeal_to_fear-prejudice
bad for evangelization,”	Appeal_to_fear-prejudice
Could we possibly say, for instance, that it’s impossible to judge the presidency of Donald Trump relative to past presidents	Doubt
a genuinely surprising position	Loaded_Language
a combination of rhetorical tricks and soft-peddled Hegelianism	Loaded_Language
a lovely suggestion	Loaded_Language
rank historicism	Loaded_Language
There are different responses to the same question in different times.”	Thought-terminating_Cliches
has a dog in this fight	Loaded_Language
For Faggioli, the implication is that at least 50 percent of German Catholic children never see their parents receive communion and lose their faith because of it	Causal_Oversimplification
Were priests throughout history in fact misleading their divorced and remarried parishioners by telling them they could not receive communion	Doubt
If we don’t, we will find ourselves, in the words of Pope Benedict, in “a dictatorship of relativism that does not recognize anything as definitive and whose ultimate goal consists solely of one’s own ego and desires	Appeal_to_fear-prejudice
